Time,MyBus0
311.92us,987
312.12us,985
313.12us,987
313.32us,985
313.52us,987
313.72us,985
314.52us,987
314.72us,985
315.12us,987
315.32us,985
316.52us,986
316.72us,985
317.72us,983
317.92us,985
318.52us,987
318.72us,985
319.72us,983
319.92us,984
320.12us,983
320.32us,985
320.92us,983
321.12us,985
321.52us,983
321.72us,985
322.92us,984
323.12us,985
323.52us,984
323.72us,985
323.92us,984
324.12us,983
324.32us,985
324.92us,983
325.12us,985
325.32us,983
325.52us,985
326.32us,983
326.52us,985
326.92us,983
327.32us,984
327.52us,985
327.72us,983
327.92us,985
328.72us,983
328.92us,985
329.52us,986
329.72us,983
330.12us,985
330.52us,983
330.92us,985
331.12us,984
331.32us,985
331.92us,983
332.32us,985
333.12us,983
333.32us,985
333.52us,983
333.72us,985
333.92us,983
334.12us,984
334.32us,985
334.52us,983
334.72us,985
335.72us,983
336.12us,985
336.72us,983
337.92us,985
338.12us,983
338.32us,985
338.52us,984
338.72us,983
338.92us,985
339.52us,983
339.72us,985
340.12us,983
340.32us,985
341.12us,983
341.32us,985
341.72us,983
341.92us,985
343.52us,984
343.72us,983
343.92us,985
344.52us,984
344.72us,985
345.52us,984
345.72us,985
345.92us,983
346.12us,985
346.52us,983
346.72us,987
346.92us,985
347.52us,984
347.72us,985
349.32us,984
349.52us,985
350.72us,981
350.92us,985
351.72us,984
351.92us,985
352.32us,986
352.72us,987
352.92us,983
353.12us,984
353.32us,985
353.52us,983
353.72us,985
354.32us,986
354.52us,985
354.72us,987
354.92us,985
355.32us,986
355.52us,985
356.12us,987
356.32us,985
356.72us,987
356.92us,985
358.12us,987
358.32us,986
358.52us,987
358.92us,985
359.12us,987
359.32us,985
359.52us,987
359.72us,985
359.92us,987
360.12us,986
360.32us,984
360.52us,987
360.72us,985
360.92us,987
361.32us,985
361.52us,987
361.72us,985
361.92us,987
362.12us,985
362.52us,987
363.12us,985
363.52us,987
363.72us,988
363.92us,987
364.12us,985
364.32us,987
365.12us,986
365.32us,987
366.52us,985
366.72us,987
367.32us,988
367.52us,987
368.52us,989
368.72us,987
369.52us,989
369.72us,987
369.92us,988
370.12us,987
370.52us,988
370.92us,987
371.32us,988
371.52us,989
371.72us,987
371.92us,989
373.32us,988
373.52us,989
374.72us,991
374.92us,989
375.32us,990
375.52us,989
376.32us,991
376.52us,989
376.72us,991
376.92us,989
377.32us,991
377.52us,984
377.72us,989
378.32us,990
378.52us,991
378.72us,990
378.92us,991
379.32us,989
379.52us,991
379.72us,990
379.92us,991
380.32us,989
380.52us,991
382.92us,993
383.12us,992
383.32us,990
383.33us,991
383.52us,993
383.72us,992
383.93us,993
384.72us,991
384.92us,993
385.12us,991
385.32us,993
385.52us,992
385.72us,993
385.92us,992
386.32us,993
387.52us,991
387.72us,993
388.52us,994
388.72us,993
389.52us,995
389.72us,993
390.12us,995
390.32us,993
390.52us,995
390.72us,994
391.13us,995
391.32us,994
391.53us,995
391.92us,994
392.12us,995
392.32us,993
392.52us,997
392.72us,995
393.72us,996
393.92us,995
394.32us,997
394.52us,995
394.92us,996
395.12us,995
395.52us,996
395.72us,997
395.92us,996
396.12us,997
396.32us,996
396.52us,995
396.72us,997
396.92us,995
397.12us,997
397.52us,995
397.72us,997
397.92us,995
398.12us,997
399.32us,995
399.52us,997
399.92us,998
400.12us,997
400.52us,998
400.72us,997
400.92us,998
401.12us,997
401.32us,999
401.72us,998
401.92us,1003
402.12us,999
402.72us,998
402.92us,999
403.52us,1000
403.72us,999
404.32us,1000
404.52us,999
404.92us,1001
405.12us,999
405.32us,1001
405.52us,1000
405.72us,999
405.92us,1000
406.32us,999
406.72us,1001
407.52us,999
407.72us,1000
407.93us,1001
408.12us,999
408.32us,1001
408.92us,1000
409.13us,1001
409.32us,1002
409.52us,1001
409.72us,1003
409.92us,1001
410.72us,1003
410.92us,1001
411.12us,1003
411.32us,1002
411.53us,1003
412.52us,1005
412.72us,1003
413.12us,1005
413.32us,1003
413.52us,1004
413.72us,1003
414.32us,1004
414.52us,1003
414.92us,1005
415.12us,1004
415.73us,1005
416.12us,1004
416.33us,1005
416.52us,1006
416.72us,1005
417.12us,1004
417.33us,1005
417.52us,1003
417.72us,1005
418.12us,1004
418.32us,1006
418.33us,1007
418.52us,1005
418.72us,1007
418.92us,1008
419.12us,1004
419.13us,1005
419.32us,1007
419.52us,1006
419.73us,1007
419.92us,1006
420.33us,1007
421.32us,1006
421.52us,1007
421.72us,1006
422.12us,1008
422.32us,1006
422.33us,1007
422.52us,1008
422.72us,1006
422.73us,1007
422.92us,1008
423.13us,1009
423.32us,1008
423.53us,1009
423.92us,1007
424.12us,1010
424.32us,1008
424.33us,1009
425.12us,1008
425.33us,1009
425.92us,1008
425.93us,1010
426.12us,1008
426.13us,1009
426.32us,993
426.33us,1007
426.52us,1009
426.92us,1011
427.12us,1009
427.52us,1011
427.72us,1009
428.32us,1010
428.53us,1011
429.12us,1009
429.32us,1011
430.52us,1013
430.72us,1011
431.72us,1013
431.92us,1011
432.52us,1013
432.72us,1012
432.92us,1013
433.32us,1012
433.52us,1014
433.53us,1015
433.72us,1013
434.12us,1014
434.32us,1013
434.92us,1015
435.32us,1013
435.52us,1014
435.73us,1015
436.92us,1017
437.12us,1015
437.52us,1017
437.72us,1014
437.93us,1015
438.52us,1017
438.72us,1016
438.93us,1017
439.12us,1014
439.32us,1016
439.33us,1017
439.72us,1015
439.92us,1017
441.52us,1015
441.72us,1019
441.92us,1017
442.12us,1019
442.32us,1018
442.52us,1016
442.53us,1017
442.72us,1019
442.92us,1018
443.13us,1019
444.32us,1017
444.52us,1019
446.52us,1021
446.72us,1019
446.92us,1021
447.32us,1019
447.52us,1021
447.72us,1020
447.93us,1021
448.52us,1022
448.72us,1020
448.73us,1021
448.92us,1023
449.12us,1021
449.32us,1023
449.52us,1021
449.92us,1023
450.52us,1021
450.72us,1022
450.93us,1023
451.32us,1022
451.52us,1021
451.72us,0
451.93us,1021
452.12us,1023
452.52us,1021
452.72us,0
452.93us,1
453.13us,1023
453.32us,1
453.33us,0
453.53us,1023
453.92us,1
456.52us,2
456.72us,1
457.72us,2
457.93us,3
458.12us,1
458.32us,3
459.12us,2
459.33us,3
459.92us,2
460.13us,3
460.52us,5
460.72us,4
460.93us,5
461.52us,2
461.72us,4
461.73us,5
463.33us,7
463.52us,6
463.73us,7
463.92us,5
464.12us,6
464.52us,4
464.53us,5
464.72us,7
466.12us,8
466.32us,6
466.33us,7
467.92us,8
468.13us,9
468.52us,8
468.72us,2
468.73us,7
468.92us,8
469.33us,9
469.72us,8
469.93us,9
470.52us,11
470.72us,9
470.92us,8
470.93us,10
471.12us,8
471.13us,9
471.32us,8
471.33us,10
471.72us,8
471.73us,9
471.92us,10
472.33us,11
473.52us,14
473.72us,10
473.73us,11
473.92us,10
474.12us,12
474.32us,10
474.52us,12
474.92us,10
474.93us,11
475.72us,12
475.92us,10
475.93us,11
476.12us,13
476.32us,11
476.52us,15
476.72us,13
477.92us,12
477.93us,14
478.12us,12
478.13us,13
478.73us,15
478.92us,14
479.33us,15
479.72us,13
479.92us,15
480.32us,14
480.53us,15
481.72us,16
481.92us,0
481.93us,15
482.32us,17
482.52us,13
482.53us,15
482.72us,16
483.33us,17
483.52us,16
483.73us,17
483.92us,16
484.13us,17
484.72us,19
484.92us,17
485.12us,1
485.13us,15
485.32us,17
485.52us,16
485.73us,17
486.12us,19
486.32us,17
486.52us,19
486.72us,17
486.92us,19
487.12us,17
487.52us,19
487.92us,17
488.12us,19
488.32us,17
488.52us,19
488.72us,18
488.93us,19
489.52us,21
489.72us,19
489.92us,21
490.12us,19
490.52us,21
490.72us,20
490.92us,19
491.12us,21
491.52us,19
491.72us,22
491.92us,21
492.12us,19
492.32us,21
492.92us,19
493.12us,23
493.32us,21
493.72us,23
493.92us,21
494.12us,23
494.52us,21
494.72us,23
495.52us,21
495.73us,23
497.72us,25
497.92us,23
498.92us,25
499.72us,21
499.73us,23
500.12us,25
500.32us,23
500.52us,26
500.72us,24
500.73us,25
500.92us,26
501.12us,24
501.13us,25
501.32us,27
501.52us,25
501.72us,23
501.92us,25
502.32us,27
502.52us,26
502.72us,24
502.73us,25
502.92us,27
503.12us,26
503.33us,27
503.52us,25
503.72us,27
504.12us,26
504.33us,27
504.52us,26
504.73us,27
505.72us,24
505.92us,26
505.93us,27
506.52us,29
506.72us,28
506.93us,29
507.32us,28
507.53us,29
507.92us,27
508.12us,29
508.72us,27
508.92us,29
509.12us,28
509.33us,29
509.52us,28
509.53us,30
509.72us,28
509.93us,29
510.92us,31
511.12us,29
511.32us,28
511.33us,30
511.52us,28
511.53us,29
511.93us,31
512.12us,29
512.53us,31
512.72us,29
512.92us,28
512.93us,30
513.12us,28
513.13us,29
513.33us,31
514.32us,32
514.52us,16
514.53us,31
514.72us,33
514.92us,32
515.12us,24
515.13us,30
515.33us,31
515.52us,0
515.53us,32
515.73us,33
515.92us,32
516.12us,16
516.13us,31
516.32us,1
516.33us,33
516.72us,32
517.13us,33
517.92us,32
518.13us,33
518.32us,32
518.72us,0
518.73us,31
518.92us,0
518.93us,32
519.13us,33
519.52us,32
519.53us,34
519.72us,32
519.93us,33
520.32us,32
520.53us,34
520.72us,32
520.73us,33
520.92us,35
521.12us,34
521.72us,32
521.73us,33
521.92us,35
522.12us,33
522.53us,35
522.72us,34
522.93us,35
523.12us,33
523.13us,37
523.32us,33
523.33us,35
523.52us,36
523.72us,32
523.73us,35
524.12us,36
524.32us,32
524.33us,35
524.92us,34
524.93us,38
525.12us,36
525.33us,38
525.52us,34
525.53us,35
525.72us,33
525.73us,37
525.92us,33
525.93us,35
526.32us,37
526.52us,35
526.72us,37
526.92us,35
527.12us,36
527.52us,34
527.53us,35
527.72us,37
527.92us,35
528.32us,37
528.72us,36
528.93us,37
529.52us,36
529.53us,38
529.72us,34
529.73us,35
529.92us,37
530.12us,36
530.13us,38
530.32us,34
530.33us,35
530.52us,39
530.72us,35
530.93us,39
531.32us,37
531.52us,36
531.53us,38
531.72us,36
531.73us,37
531.92us,36
531.93us,38
532.12us,36
532.13us,37
532.33us,39
532.52us,38
532.92us,36
532.93us,37
533.33us,39
533.72us,37
533.93us,39
534.52us,38
534.73us,39
534.92us,40
535.12us,32
535.13us,38
535.33us,39
535.52us,37
535.73us,39
536.12us,37
536.32us,40
536.52us,32
536.53us,39
536.92us,40
537.12us,32
537.13us,39
537.32us,40
537.53us,41
537.72us,40
537.92us,32
537.93us,39
538.32us,40
538.52us,32
538.53us,39
538.72us,41
538.92us,40
539.33us,41
539.52us,40
539.73us,41
540.32us,40
540.73us,41
540.92us,40
541.13us,41
541.32us,40
541.73us,41
541.92us,40
542.13us,42
542.32us,40
542.33us,41
542.93us,43
543.12us,41
543.52us,40
543.53us,42
543.72us,40
543.73us,41
543.93us,43
544.12us,42
544.32us,40
544.33us,41
544.92us,40
544.93us,42
545.12us,40
545.13us,41
545.72us,40
545.73us,42
545.93us,43
546.12us,41
546.33us,43
546.72us,42
546.93us,43
547.12us,41
547.33us,43
547.72us,42
547.93us,43
548.52us,41
548.72us,40
548.73us,42
548.93us,43
549.52us,42
549.73us,43
551.12us,44
551.32us,40
551.33us,43
551.72us,45
551.92us,43
552.32us,44
552.52us,40
552.53us,43
552.92us,45
553.12us,42
553.33us,43
553.92us,41
553.93us,45
554.12us,44
554.33us,45
554.52us,44
554.72us,40
554.73us,43
554.92us,41
554.93us,45
555.12us,41
555.13us,43
555.32us,41
555.33us,45
555.52us,44
555.72us,40
555.73us,43
555.92us,41
555.93us,45
556.12us,41
556.13us,43
556.32us,40
556.33us,44
556.53us,45
556.72us,41
556.73us,43
556.92us,41
556.93us,45
557.12us,44
557.53us,45
558.52us,44
558.72us,40
558.73us,43
558.92us,41
558.93us,45
559.52us,41
559.53us,43
559.72us,41
559.73us,45
560.32us,44
560.33us,46
560.52us,44
560.53us,45
560.73us,47
560.92us,45
561.12us,44
561.13us,46
561.32us,44
561.33us,45
561.53us,47
561.72us,43
561.92us,45
563.12us,44
563.13us,46
563.32us,44
563.33us,45
563.53us,47
563.72us,46
563.92us,44
563.93us,45
564.12us,44
564.13us,46
564.32us,44
564.33us,45
564.52us,44
564.53us,46
564.72us,44
564.73us,45
564.93us,47
565.12us,45
565.33us,47
565.52us,45
565.72us,44
565.73us,46
566.12us,44
566.33us,45
566.72us,44
566.73us,46
566.93us,47
567.12us,45
567.32us,33
567.33us,49
567.52us,33
567.53us,45
567.73us,47
568.12us,46
568.33us,47
568.72us,46
568.93us,47
569.12us,45
569.33us,47
569.72us,46
570.13us,47
570.32us,46
570.53us,47
570.92us,46
571.12us,32
571.13us,48
571.32us,32
571.33us,47
571.52us,46
571.73us,47
571.92us,45
572.13us,47
572.52us,46
572.73us,47
572.92us,46
573.13us,47
573.32us,46
573.73us,47
573.92us,45
574.12us,33
574.13us,49
